text,ind,sense,label
"at eleven o'clock the rangoon rode out of singapore harbour , and in a few hours the high mountains of malacca , with their forests , inhabited by the most beautifully - furred tigers in the world , were lost to view . singapore is distant some thirteen hundred miles from the island of hong kong , which is a little english colony near the chinese coast . phileas fogg hoped to accomplish the journey in six days , so as to be in time for the steamer which would leave on the 6th of november for yokohama , the principal japanese port .",24,"('forest', 'forêt', 'selva')",0
""" 192,000 years , my gallant conseil , which significantly extends the biblical days of creation . what 's more , the formation of coal-- in other words , the petrification of forests swallowed by floods-- and the cooling of basaltic rocks likewise call for a much longer period of time . i might add that those ' days ' in the bible must represent whole epochs and not literally the lapse of time between two sunrises , because according to the bible itself , the sun does n't date from the first day of creation . """,32,"('forest', 'forêt', 'bosque')",1
""" i believe we 're not fellows to be afraid of a bullet , and as for me , if captain harding approves , i 'm ready to dash into the forest !",31,"('forest', 'forêt', 'bosque')",1
"at that moment the moon appeared in the east , above the black curtain of the forest , and a white sheet of light spread over the interior of the enclosure .",16,"('forest', 'forêt', 'bosque')",1
"there i should not be afraid to leave herbert with one , while the other three went to search the forests of the island .",20,"('forest', 'forêt', 'bosque')",1
the burning liquid had then spread through the forest of the far west .,8,"('forest', 'forêt', 'selva')",0
"at this period of the year , when the trees were dried up by a tropical heat , the forest caught fire instantaneously , in such a manner that the conflagration extended itself both by the trunks of the trees and by their higher branches , whose interlacement favored its progress .",19,"('forest', 'forêt', 'bosque')",1
"but till then the guns had not spoken , and the first report which awoke the echoes of the forest of the far west was provoked by the appearance of a beautiful bird , resembling the kingfisher .",19,"('forest', 'forêt', 'selva')",0
"what a sad and fearful sight , and how painful to the colonists , who , from a fertile domain covered with forests , irrigated by watercourses , and enriched by the produce of their toils , found themselves , as it were , transported to a desolate rock , upon which , but for their reserves of provisions , they could not even gather the means of subsistence !",22,"('forest', 'forêt', 'bosque')",1
""" the bird which escaped us on our first excursion , and from which we gave the name to that part of the forest . """,23,"('forest', 'forêt', 'selva')",0
"the forests of the island were in full leaf , and the time was approaching when the usual crops ought to be gathered .",1,"('forest', 'forêt', 'bosque')",1
"as to the forest , including jacamar wood , as well as the forests of the far west , it extended as far as the eye could reach .",3,"('forest', 'forêt', 'bosque')",1
"as to the forest , including jacamar wood , as well as the forests of the far west , it extended as far as the eye could reach .",13,"('forest', 'forêt', 'selva')",0
"she went into the house ; i stayed behind a few minutes to plant in my garden a handful of roots i had dug up in the forest , and which i feared would wither if i left them till the morning .",27,"('forest', 'forêt', 'bosque')",1
"porthos knocked with his hand . a tall , pale clerk , his face shaded by a forest of virgin hair , opened the door , and bowed with the air of a man forced at once to respect in another lofty stature , which indicated strength , the military dress , which indicated rank , and a ruddy countenance , which indicated familiarity with good living .",17,"('forest', 'forêt', 'selva')",0
