text,sense,label,ind,new_label
"he bowed to him , then , full of gratitude for the past and for the future ; and the worthy captain , who on his side felt a lively interest in this young man , so brave and so resolute , pressed his hand kindly , wishing him a pleasant journey .","('full', 'plein', 'llenar')",0,7,0
"this time there could be no doubt ; d’artagnan was really insulted . full , then , of this conviction , he pulled his cap down over his eyes , and endeavoring to copy some of the court airs he had picked up in gascony among young traveling nobles , he advanced with one hand on the hilt of his sword and the other resting on his hip .","('full', 'plein', 'llenar')",0,13,0
""" this woman is full of mysteries , "" murmured d’artagnan to himself .","('full', 'plein', 'llenar')",1,4,0
"aramis , you certainly are full of wisdom ! ""","('full', 'plein', 'llenar')",0,5,0
"throughout the night aouda , full of sad forebodings , her heart stifled with anguish , wandered about on the verge of the plains . her imagination carried her far off , and showed her innumerable dangers . what she suffered through the long hours it would be impossible to describe .","('full', 'plein', 'llenar')",0,5,0
"life is full of humiliations and sorrows , "" continued he , becoming still more melancholy ; "" all the ties which attach him to life break in the hand of man , particularly the golden ties .","('full', 'plein', 'llenar')",1,2,0
i had three days ' provisions with me and my flask was full . but i could not remain alone for long . should i go up or down ?,"('full', 'plein', 'llenar')",1,12,0
"do you not perceive that we are opposite the hotel d’arguillon , which is full of the cardinal ’s creatures ?","('full', 'plein', 'llenar')",0,14,0
"she opened her eyes , and saw the abbess , accompanied by a young woman with light hair and delicate complexion , who fixed upon her a look full of benevolent curiosity .","('full', 'plein', 'llenar')",1,28,0
""" weep , "" said athos , "" weep , heart full of love , youth , and life !","('full', 'plein', 'llenar')",0,11,0
"but cyrus harding approaching , placed his hand on his shoulder with a gesture full of authority , and looked at him with infinite tenderness .","('full', 'plein', 'llenar')",0,14,0
"here is what those circumstances entailed . two miles to starboard lay gueboroa island , its coastline curving north to west like an immense arm . to the south and east , heads of coral were already on display , left uncovered by the ebbing waters . we had run aground at full tide and in one of those seas whose tides are moderate , an inconvenient state of affairs for floating the nautilus off . however , the ship had n't suffered in any way , so solidly joined was its hull . but although it could neither sink nor split open , it was in serious danger of being permanently attached to these reefs , and that would have been the finish of captain nemo 's submersible .","('full', 'plein', 'llenar')",0,52,0
"the next day , june 23 , hans was awaiting us with his companions carrying provisions , tools , and instruments ; two iron pointed sticks , two rifles , and two shot belts were for my uncle and myself . hans , as a cautious man , had added to our luggage a leathern bottle full of water , which , with that in our flasks , would ensure us a supply of water for eight days .","('full', 'plein', 'llenar')",0,56,0
"the door led right into a large kitchen , which was full of smoke from one end to the other : the duchess was sitting on a three - legged stool in the middle , nursing a baby ; the cook was leaning over the fire , stirring a large cauldron which seemed to be full of soup .","('full', 'plein', 'llenar')",1,11,0
"gideon spilett ranked among the first of those reporters : a man of great merit , energetic , prompt and ready for anything , full of ideas , having traveled over the whole world , soldier and artist , enthusiastic in council , resolute in action , caring neither for trouble , fatigue , nor danger , when in pursuit of information , for himself first , and then for his journal , a perfect treasury of knowledge on all sorts of curious subjects , of the unpublished , of the unknown , and of the impossible . he was one of those intrepid observers who write under fire , "" reporting "" among bullets , and to whom every danger is welcome .","('full', 'plein', 'llenar')",0,24,0
""" gentlemen , "" said d’artagnan , "" what porthos says is full of sense . ""","('full', 'plein', 'llenar')",0,12,0
""" here ! "" said milady , placing a bag full of louis in felton ’s hands .","('full', 'plein', 'llenar')",1,10,0
"all the way , and in proportion as the corridors became more deserted , d’artagnan wished to stop the young woman , seize her and gaze upon her , were it only for a minute ; but quick as a bird she glided between his hands , and when he wished to speak to her , her finger placed upon her mouth , with a little imperative gesture full of grace , reminded him that he was under the command of a power which he must blindly obey , and which forbade him even to make the slightest complaint . at length , after winding about for a minute or two , mme . bonacieux opened the door of a closet , which was entirely dark , and led d’artagnan into it .","('full', 'plein', 'llenar')",0,68,0
"after this , satisfied with the way in which he had conducted himself at meung , without remorse for the past , confident in the present , and full of hope for the future , he retired to bed and slept the sleep of the brave .","('full', 'plein', 'llenar')",0,28,0
""" monsieur is full of generosity , "" said athos .","('full', 'plein', 'llenar')",0,3,0
""" the old schoolroom , mr . dorian ? "" she exclaimed . "" why , it is full of dust . i must get it arranged and put straight before you go into it . it is not fit for you to see , sir . it is not , indeed . ""","('full', 'plein', 'llenar')",1,18,0
""" can i be of service to your majesty ? "" said all at once a voice full of sweetness and pity .","('full', 'plein', 'llenar')",1,17,0
