text,sense,label,ind,new_label
"towards six o'clock , when the sun was disappearing behind the high lands of the west , herbert , who was walking up and down on the strand , signalized the return of neb and spilett .","('high', 'haut', 'alto')",0,11,0
""" you must , nevertheless , have committed a crime , since you are here and are accused of high treason . ""","('high', 'haut', 'alto')",0,19,0
""" of high treason ! "" cried bonacieux , terrified ; "" of high treason ! how is it possible for a poor mercer , who detests huguenots and who abhors spaniards , to be accused of high treason ?","('high', 'haut', 'alto')",0,2,0
""" of high treason ! "" cried bonacieux , terrified ; "" of high treason ! how is it possible for a poor mercer , who detests huguenots and who abhors spaniards , to be accused of high treason ?","('high', 'haut', 'alto')",0,37,0
"at the entrance was a portal two hundred and twenty feet high and one hundred wide ; but it is impossible for words to express the materials of which it was built . the reader , however , will readily conceive that they must have a prodigious superiority over the pebbles and sand , which we call gold and precious stones .","('high', 'haut', 'alto')",0,11,0
"moreover , about this time the colonists felt in the frame of the island vibrations which alarmed them to the highest degree .","('high', 'haut', 'alto')",0,20,0
"the field was prepared , then surrounded with a strong palisade , high and pointed , which quadrupeds would have found difficulty in leaping .","('high', 'haut', 'alto')",0,12,0
"day had returned . no ray of light penetrated into the profundity of the cavern . it being high - water , the entrance was closed by the sea . but the artificial light , which escaped in long streams from the skylights of the "" nautilus "" was as vivid as before , and the sheet of water shone around the floating vessel .","('high', 'haut', 'alto')",0,18,0
"meanwhile , the sun had not reached the highest point in its course above the horizon .","('high', 'haut', 'alto')",0,8,0
"the tide being high at that time , rendered the channel impassable .","('high', 'haut', 'alto')",0,3,0
"but at that moment my attention was drawn to an unexpected sight . at a distance of five hundred paces , at the turn of a high promontory , appeared a high , tufted , dense forest . it was composed of trees of moderate height , formed like umbrellas , with exact geometrical outlines . the currents of wind seemed to have had no effect upon their shape , and in the midst of the windy blasts they stood unmoved and firm , just like a clump of petrified cedars .","('high', 'haut', 'alto')",0,26,0
""" you are accused of high treason , "" said the cardinal , slowly .","('high', 'haut', 'alto')",0,5,0
