text,ind,sense,label
"passing near these unusual animals , i could examine them at my leisure since they did n't stir . their hides were rough and heavy , a tan color leaning toward a reddish brown ; their coats were short and less than abundant . some were four meters long . more tranquil and less fearful than their northern relatives , they posted no sentinels on guard duty at the approaches to their campsite .",38,"('short', 'court', 'cortar')",0
""" poor fellow ! his return to social life will have been but of short duration . """,14,"('short', 'court', 'corto')",1
"there was no longer any doubt as to the pirates ' intentions . they had dropped anchor at a short distance from the island , and it was evident that the next day by means of their boats they purposed to land on the beach !",19,"('short', 'court', 'corto')",1
"the settlers , wishing to return to the chimneys by the shortest way , descended towards the angle formed on the south by the junction of the lake 's bank .",11,"('short', 'court', 'cortar')",0
"it was yet night , but july nights are short : soon after midnight , dawn comes .",9,"('short', 'court', 'corto')",1
"noticing these things , i rode over a short causeway to the house .",8,"('short', 'court', 'cortar')",0
"she entered , transformed as her guardian had predicted . a dress of rose - coloured satin , very short , and as full in the skirt as it could be gathered , replaced the brown frock she had previously worn ; a wreath of rosebuds circled her forehead ; her feet were dressed in silk stockings and small white satin sandals .",19,"('short', 'court', 'cortar')",0
"at dawn on the 13th the carnatic entered the port of yokohama . this is an important port of call in the pacific , where all the mail - steamers , and those carrying travellers between north america , china , japan , and the oriental islands put in . it is situated in the bay of yeddo , and at but a short distance from that second capital of the japanese empire , and the residence of the tycoon , the civil emperor , before the mikado , the spiritual emperor , absorbed his office in his own . the carnatic anchored at the quay near the custom - house , in the midst of a crowd of ships bearing the flags of all nations .",63,"('short', 'peu', 'corto')",2
"he took his way toward the hotel of m. de treville ; his visit of the day before , it is to be remembered , had been very short and very little explicative .",28,"('short', 'court', 'corto')",1
"in short , she had taken the measure of motives hitherto unknown to herself , through this experiment , made upon the most rebellious subject that nature and religion could submit to her study .",1,"('short', 'enfin', 'finalmente')",3
"what could be more terrible for the colonists than to be exposed , at a short distance , to the brig 's guns , without being able to reply with any effect ?",15,"('short', 'court', 'corto')",1
"the entrance into this place i made to be , not by a door , but by a short ladder to go over the top ; which ladder , when i was in , i lifted over after me ; and so i was completely fenced in and fortified , as i thought , from all the world , and consequently slept secure in the night , which otherwise i could not have done ; though , as it appeared afterwards , there was no need of all this caution from the enemies that i apprehended danger from .",18,"('short', 'petit', 'pequeño')",4
the struggle was short .,3,"('short', 'court', 'corto')",1
"for the rest , whether trite or novel , it is short .",11,"('short', 'court', 'breve')",5
"the plesiosaurus , a serpent with a cylindrical body and a short tail , has four flappers or paddles to act like oars . its body is entirely covered with a thick armour of scales , and its neck , as flexible as a swan 's , rises thirty feet above the waves .",11,"('short', 'court', 'corto')",1
"there were few or no bridges or tunnels on the route . the railway turned around the sides of the mountains , and did not attempt to violate nature by taking the shortest cut from one point to another .",32,"('short', 'court', 'cortar')",0
""" most modern . a most practical , pressing matter , which must be decided within twenty - four hours . but the manuscript is short and is intimately connected with the affair . with your permission i will read it to you . """,25,"('short', 'bref', 'breve')",6
"this current swept along with it a whole host of moving creatures . argonauts , so common in the mediterranean , voyaged here in schools of large numbers . among cartilaginous fish , the most remarkable were rays whose ultra slender tails made up nearly a third of the body , which was shaped like a huge diamond twenty - five feet long ; then little one - meter sharks , the head large , the snout short and rounded , the teeth sharp and arranged in several rows , the body seemingly covered with scales .",77,"('short', 'court', 'cortar')",0
"just then captain nemo stopped . he waited until i joined him , then he pointed a finger at some dark masses outlined in the shadows a short distance away .",27,"('short', 'petit', 'corto')",7
"and every moment burst forth the hurrahs of the delighted sailor when he caught sight of the barrels of gunpowder , firearms and sidearms , balls of cotton , implements of husbandry , carpenter 's , joiner 's , and blacksmith 's tools , and boxes of all kinds of seeds , not in the least injured by their short sojourn in the water .",59,"('short', 'court', 'corto')",1
"their shortest way was to cross the mercy on the ice , which then covered it .",1,"('short', 'court', 'cortar')",0
"in the evening i took a short walk on the beach and returned at night to my plank - bed , where i slept soundly all night .",6,"('short', 'court', 'cortar')",0
""" the short one . """,2,"('short', 'petit', 'pequeño')",4
"among other fowl i noted some sheathbills from the wading - bird family , the size of pigeons , white in color , the beak short and conical , the eyes framed by red circles . conseil laid in a supply of them , because when they 're properly cooked , these winged creatures make a pleasant dish . in the air there passed sooty albatross with four - meter wingspans , birds aptly dubbed "" vultures of the ocean , "" also gigantic petrels including several with arching wings , enthusiastic eaters of seal that are known as quebrantahuesos , and cape pigeons , a sort of small duck , the tops of their bodies black and white -- in short , a whole series of petrels , some whitish with wings trimmed in brown , others blue and exclusive to these antarctic seas , the former "" so oily , "" i told conseil , "" that inhabitants of the faroe islands simply fit the bird with a wick , then light it up . """,25,"('short', 'court', 'cortar')",0
"four horses were to be placed at our disposal -- two to carry him and me , two for the baggage . hams , as was his custom , would go on foot . he knew all that part of the coast perfectly , and promised to take us the shortest way .",50,"('short', 'court', 'cortar')",0
"when to the frontiers of the oreillons , said cacambo to candide , "" you see , this hemisphere is not better than the other ; now take my advice and let us return to europe by the shortest way possible . """,38,"('short', 'court', 'cortar')",0
