text,sense,label,ind,new_label
"milady seemed overcome with joy , and made kitty repeat the smallest details of the pretended interview of the soubrette with de wardes when he received the letter ; how he had responded ; what was the expression of his face ; if he seemed very amorous . and to all these questions poor kitty , forced to put on a pleasant face , responded in a stifled voice whose dolorous accent her mistress did not however remark , solely because happiness is egotistical .","('mistress', 'maîtresse', 'amar')",0,73,0
""" your companion ! "" cried d’artagnan , becoming more pale than the white veil of his mistress . "" of what companion are you speaking , dear constance ? ""","('mistress', 'maîtresse', 'amante')",1,17,1
"when d’artagnan was out of the louvre , and consulted his friends upon the use he had best make of his share of the forty pistoles , athos advised him to order a good repast at the pomme - de - pin , porthos to engage a lackey , and aramis to provide himself with a suitable mistress .","('mistress', 'maîtresse', 'amante')",1,57,1
"although athos was scarcely thirty years old , and was of great personal beauty and intelligence of mind , no one knew whether he had ever had a mistress .","('mistress', 'maîtresse', 'amante')",1,28,1
"mme . de chevreuse and mme . de bernet were exiled , and laporte did not conceal from his mistress that he expected to be arrested every instant .","('mistress', 'maîtresse', 'amar')",0,19,0
"the young man uttered a cry , and fell by the side of his mistress as pale and as icy as herself .","('mistress', 'maîtresse', 'amante')",1,14,1
""" i am only temporarily a musketeer , "" said aramis , humbly . "" it is some time since we heard from his mistress , "" said athos , in a low voice . "" but take no notice ; we know all about that . ""","('mistress', 'maîtresse', 'amante')",1,24,1
she looked at him with an expression of kindness which it was impossible to mistake ; but d’artagnan was so preoccupied by the mistress that he noticed absolutely nothing but her .,"('mistress', 'maîtresse', 'amar')",0,23,0
""" oh , from some heartbroken waiting woman , some desponding grisette ; from madame de chevreuse ’s chambermaid , perhaps , who was obliged to return to tours with her mistress , and who , in order to appear smart and attractive , stole some perfumed paper , and sealed her letter with a duchess ’s coronet . ""","('mistress', 'maîtresse', 'amar')",0,31,0
"he tore himself from the arms of porthos and aramis , and threw himself like a madman on the corpse of his mistress .","('mistress', 'maîtresse', 'amante')",1,22,1
she was sent by her mistress to the false de wardes .,"('mistress', 'maîtresse', 'amar')",0,5,0
"as for myself , i neither have , nor desire to have , a mistress , following in that respect the very judicious example of athos , who has none any more than i have . ""","('mistress', 'maîtresse', 'amante')",1,14,1
"her mistress was mad with love , intoxicated with joy .","('mistress', 'maîtresse', 'amar')",0,1,0
"that which would now be considered as disgraceful to a gentleman was at that time quite a simple and natural affair , and the younger sons of the best families were frequently supported by their mistresses .","('mistress', 'maîtresse', 'amante')",1,35,1
"she could scarcely believe in her happiness ; and d’artagnan was forced to renew with the living voice the assurances which he had written . and whatever might be -- considering the violent character of milady -- the danger which the poor girl incurred in giving this billet to her mistress , she ran back to the place royale as fast as her legs could carry her .","('mistress', 'maîtresse', 'amar')",0,50,0
