text,sense,label,ind,new_label
"without waiting for the permission of his host , d’artagnan went quickly into the house , and cast a rapid glance at the bed .","('cast', 'jeter', 'lanzar')",0,17,0
"words might be heard at a distance through all these open doors . then , while passing , he had cast a rapid , investigating glance into the kitchen ; and he was obliged to confess to himself , to the shame of the procurator ’s wife and his own regret , that he did not see that fire , that animation , that bustle , which when a good repast is on foot prevails generally in that sanctuary of good living .","('cast', 'jeter', 'lanzar')",0,20,0
she cast a glance at the door ; the baron had had a plank nailed over the grating . he no doubt feared that by this opening she might still by some diabolical means corrupt her guards .,"('cast', 'jeter', 'lanzar')",0,1,0
""" indeed ! "" thought porthos , casting a glance at the three hungry clerks -- for the errand boy , as might be expected , was not admitted to the honors of the magisterial table , "" in my cousin ’s place , i would not keep such gourmands !","('cast', 'jeter', 'lanzar')",0,7,0
"athos cast a cold and indifferent glance upon the objects we have described , and at the invitation of him whom he came to seek sat down near him .","('cast', 'jeter', 'lanzar')",0,1,0
"herbert and pencroft turned the angle of the chimneys , not without having cast a look at the smoke which , just at that place , curled round a point of rock : they ascended the left bank of the river .","('cast', 'jeter', 'lanzar')",0,13,0
d’artagnan cast a glance around him .,"('cast', 'jeter', 'lanzar')",0,1,0
d’artagnan then cast an anxious and rapid glance over the field of battle .,"('cast', 'jeter', 'lanzar')",0,2,0
"at that moment d’artagnan passed in pursuit of milady ; he cast a passing glance at porthos , and beheld this triumphant look .","('cast', 'jeter', 'lanzar')",0,11,0
"and taking it from felton , he cast a rapid glance over the paper , and perceiving that it was the one that had been mentioned to him , he placed it on the table , took a pen , and prepared to sign it .","('cast', 'jeter', 'lanzar')",0,7,0
"then , casting a glance on the handsome young man , who was scarcely twenty - five years of age , and whom he was leaving in his gore , deprived of sense and perhaps dead , he gave a sigh for that unaccountable destiny which leads men to destroy each other for the interests of people who are strangers to them and who often do not even know that they exist .","('cast', 'jeter', 'lanzar')",0,2,0
"the young man cast a glance at the first musket and saw , with a certain degree of inquietude , that it was leveled in his direction ; but as soon as he perceived that the orifice of the barrel was motionless , he threw himself upon the ground .","('cast', 'jeter', 'lanzar')",0,3,0
"felton cast his eyes round for means of escape , and seeing the door free , he rushed into the next chamber , in which , as we have said , the deputies from la rochelle were waiting , crossed it as quickly as possible , and rushed toward the staircase ; but upon the first step he met lord de winter , who , seeing him pale , confused , livid , and stained with blood both on his hands and face , seized him by the throat , crying , "" i knew it ! i guessed it !","('cast', 'jeter', 'lanzar')",0,1,0
"the chevalier de rochefort cast a glance backward , and saw that porthos and aramis had placed themselves between him and the gate ; he understood that he was completely at the mercy of these four men .","('cast', 'jeter', 'lanzar')",0,4,0
""" ned my friend , "" i said , "" answer me honestly . are you bored with this ship ? are you sorry that fate has cast you into captain nemo 's hands ? ""","('cast', 'jeter', 'lanzar')",0,27,0
"bazin gone , the mendicant cast a rapid glance around him in order to be sure that nobody could either see or hear him , and opening his ragged vest , badly held together by a leather strap , he began to rip the upper part of his doublet , from which he drew a letter .","('cast', 'jeter', 'lanzar')",0,5,0
"the pretty soubrette cast an anxious glance at d’artagnan , whose good looks seemed to have made an impression on her .","('cast', 'jeter', 'lanzar')",0,3,0
"d’artagnan leaned against the hedge , after having cast a glance behind it .","('cast', 'jeter', 'lanzar')",0,8,0
"aramis cast a glance upon d’artagnan to see what effect all this produced , and found his friend gaping enough to split his jaws .","('cast', 'jeter', 'lanzar')",0,1,0
"this was all that milady could endure . her hands clutched her armchair ; she ground her teeth inwardly ; her eyes followed the motion of the door as it closed behind lord de winter and felton , and the moment she was alone a fresh fit of despair seized her . she cast her eyes upon the table , saw the glittering of a knife , rushed toward it and clutched it ; but her disappointment was cruel . the blade was round , and of flexible silver .","('cast', 'jeter', 'lanzar')",0,53,0
"athos cast a glance over the epistle , and to disperse all the suspicions that might have been created , read aloud :","('cast', 'jeter', 'lanzar')",0,1,0
"the goldsmith cast a glance at the elegant manner in which they were set , calculated , one with another , what the diamonds were worth , and without hesitation said , "" fifteen hundred pistoles each , my lord . ""","('cast', 'jeter', 'lanzar')",0,2,0
