text,sense,label,ind,new_label
"d’artagnan felt a strong inclination to embrace planchet as he had embraced him on his departure ; but he feared lest this mark of affection , bestowed upon his lackey in the open street , might appear extraordinary to passers - by , and he restrained himself .","('lackey', 'laquais', 'lacayo')",0,29,0
"he was not long in making his toilet . he examined himself to see if advantage had been taken of his sleep , and having found his diamond ring on his finger , his purse in his pocket , and his pistols in his belt , he rose , paid for his bottle , and went out to try if he could have any better luck in his search after his lackey than he had had the night before . the first thing he perceived through the damp gray mist was honest planchet , who , with the two horses in hand , awaited him at the door of a little blind cabaret , before which d’artagnan had passed without even a suspicion of its existence .","('lackey', 'laquais', 'lacayo')",0,71,0
"when d’artagnan was out of the louvre , and consulted his friends upon the use he had best make of his share of the forty pistoles , athos advised him to order a good repast at the pomme - de - pin , porthos to engage a lackey , and aramis to provide himself with a suitable mistress .","('lackey', 'laquais', 'lacayo')",0,47,0
"the repast was carried into effect that very day , and the lackey waited at table .","('lackey', 'laquais', 'lacayo')",0,12,0
"the repast had been ordered by athos , and the lackey furnished by porthos .","('lackey', 'laquais', 'lacayo')",0,10,0
"as for aramis , of whom we believe we have sufficiently explained the character -- a character which , like that of his lackey was called bazin .","('lackey', 'laquais', 'lacayo')",0,23,0
"with regard to d’artagnan , we know how he was lodged , and we have already made acquaintance with his lackey , master planchet .","('lackey', 'laquais', 'lacayo')",0,20,0
"all five , followed by their lackeys leading their horses , took their way to the town of bethune , whose outskirts they perceived , and stopped before the first inn they came to .","('lackey', 'valet', 'criar')",1,6,1
"peace with the landlord , in addition to athos ’s old horse , cost six pistoles . d’artagnan and athos took the nags of planchet and grimaud , and the two lackeys started on foot , carrying the saddles on their heads .","('lackey', 'valet', 'criar')",1,31,1
""" the leave of absence monsieur has asked for , "" replied the lackey . "" for me !","('lackey', 'laquais', 'lacayo')",0,13,0
""" well , "" said porthos , "" i will run to the hotel , and engage our comrades to hold themselves in readiness by eight o’clock ; the rendezvous , the place du palais - cardinal . meantime , you see that the lackeys saddle the horses . ""","('lackey', 'laquais', 'lacayo')",0,44,0
"the cart was returning empty to paris , and the two lackeys had agreed , for their transport , to slake the wagoner ’s thirst along the route .","('lackey', 'laquais', 'lacayo')",0,11,0
the lackey bowed to the ground and departed .,"('lackey', 'laquais', 'lacayo')",0,1,0
"possessed by one single thought -- that of the promise he had made , and of the responsibility he had taken -- he retired last to his chamber , begged the host to procure him a map of the province , bent over it , examined every line traced upon it , perceived that there were four different roads from bethune to armentieres , and summoned the lackeys .","('lackey', 'valet', 'criar')",1,67,1
"besides , milady knew the masters , and did not know the lackeys ; on the contrary , the lackeys knew milady perfectly .","('lackey', 'valet', 'criar')",1,12,1
"besides , milady knew the masters , and did not know the lackeys ; on the contrary , the lackeys knew milady perfectly .","('lackey', 'valet', 'criar')",1,19,1
"these arrangements made , the lackeys retired .","('lackey', 'valet', 'criar')",1,5,1
"it followed that his hat was forever in his hand , which procured him some severe reprimands from d’artagnan , who feared that his excess of politeness would lead people to think he was the lackey of a man of no consequence .","('lackey', 'valet', 'criar')",1,35,1
"the host , on seeing a young man followed by a lackey with two extra horses , advanced respectfully to the door .","('lackey', 'laquais', 'lacayo')",0,11,0
"the result of these reflections was that d’artagnan , without asking information of any kind , alighted , commended the horses to the care of his lackey , entered a small room destined to receive those who wished to be alone , and desired the host to bring him a bottle of his best wine and as good a breakfast as possible -- a desire which further corroborated the high opinion the innkeeper had formed of the traveler at first sight .","('lackey', 'laquais', 'lacayo')",0,26,0
"the regiment of the guards was recruited among the first gentlemen of the kingdom ; and d’artagnan , followed by a lackey , and traveling with four magnificent horses , despite the simplicity of his uniform , could not fail to make a sensation .","('lackey', 'laquais', 'lacayo')",0,21,0
""" well , for my part , "" said athos , "" i found aramis ’s spanish wine so good that i sent on a hamper of sixty bottles of it in the wagon with the lackeys . that has weakened my purse . ""","('lackey', 'laquais', 'lacayo')",0,36,0
"planchet went and presented himself as a lackey out of a place , who was in search of a situation .","('lackey', 'laquais', 'lacayo')",0,7,0
""" even to his horse , monsieur ; for when the gentleman was about to set out , we perceived that his lackey was saddling monsieur porthos ’s horse , as well as his master ’s .","('lackey', 'laquais', 'lacayo')",0,22,0
