text,ind,sense,label
"cyrus harding smiled at the sailor 's idea , and , yielding to his wish , he opened exactly at a place where the leaves were separated by a marker .",21,"('place', 'endroit', 'sitiar')",0
""" it must be a wild place . """,6,"('place', 'endroit', 'lugar')",1
"the matter was all explained to him , and the friends gave him to understand that among all his high connections he must find a place for kitty .",25,"('place', 'place', 'lugar')",2
""" and whenever we find each other , in whatever place it may be , "" said kitty , "" you will find me loving you as i love you today . """,10,"('place', 'lieu', 'lugar')",3
"on entering this holy place , the poor penitent was unable to shut the door so close as to prevent the passions he fled from entering with him .",4,"('place', 'lieu', 'lugar')",3
"i did try , but was presently swept off the stool and denominated "" a little bungler . "" being pushed unceremoniously to one side -- which was precisely what i wished -- he usurped my place , and proceeded to accompany himself : for he could play as well as sing .",36,"('place', 'place', 'lugar')",2
"i am afraid he sent that soup to where it would boil away to nothing , and martha took to her heels for safety . i followed her , and hardly knowing how i got there i found myself seated in my usual place .",43,"('place', 'place', 'sitiar')",4
"without doubt the chancellor , seguier looked about at that moment for the rope of the famous bell ; but not finding it he summoned his resolution , and stretched forth his hands toward the place where the queen had acknowledged the paper was to be found .",35,"('place', 'endroit', 'lugar')",1
"cyrus harding , seeing that he could not hope to reach the western coast of the island in one journey , resolved to camp at the place where any further navigation was prevented by want of water .",26,"('place', 'endroit', 'sitiar')",0
"in your place , in truth , sire , i should yield to such powerful instance ; and on my part , it would be a real happiness to withdraw from public affairs . """,2,"('place', 'place', 'lugar')",2
"it was agreed to camp here , as the place was charming .",9,"('place', 'endroit', 'sitiar')",0
"she asked upon what day this fete would take place , but the king replied that he must consult the cardinal upon that head .",9,"('place', 'lieu', 'lugar')",3
"indeed , every day the king asked the cardinal when this fete should take place ; and every day the cardinal , under some pretext , deferred fixing it .",14,"('place', 'lieu', 'lugar')",3
""" but on what day will this ball take place ? "" asked anne of austria .",9,"('place', 'lieu', 'lugar')",3
"here , bridges were thrown from one rock to another ; there , arches like those of a wave , into the depths of which the eye could not penetrate ; in one place , large vaulted excavations presented a monumental aspect ; in another , a crowd of columns , spires , and arches , such as no gothic cathedral ever possessed .",33,"('place', 'endroit', 'sitiar')",0
pencroft and herbert hastened on to find a suitable place for their camp .,9,"('place', 'endroit', 'sitiar')",0
"at an elevation of about thirty meters , the nature of the terrain changed without becoming any easier . pudding stones and trachyte gave way to black basaltic rock : here , lying in slabs all swollen with blisters ; there , shaped like actual prisms and arranged into a series of columns that supported the springings of this immense vault , a wonderful sample of natural architecture . then , among this basaltic rock , there snaked long , hardened lava flows inlaid with veins of bituminous coal and in places covered by wide carpets of sulfur . the sunshine coming through the crater had grown stronger , shedding a hazy light over all the volcanic waste forever buried in the heart of this extinct mountain .",91,"('place', 'place', 'lugar')",2
"d’artagnan and cahusac sprang forward at the same instant , the one to recover , the other to obtain , the sword ; but d’artagnan , being the more active , reached it first and placed his foot upon it .",35,"('place', 'mettre', 'poner')",5
""" is there a place in this neighbourhood called thornfield ? "" i asked of the waiter who answered the summons .",4,"('place', 'endroit', 'sitiar')",0
"the engineer was somewhat uneasy on account of the dockyard shed -- which besides , he could not have established in any other place near to granite house -- for the islet only imperfectly sheltered the shore from the fury of the open sea , and in great storms the waves beat against the very foot of the granite cliff .",23,"('place', 'endroit', 'sitiar')",0
""" ah ! that is very nice , and very wrong of you , "" she cried ; "" so mind you come "" ; and she swept out of the room , followed by lady agatha and the other ladies . when lord henry had sat down again , mr . erskine moved round , and taking a chair close to him , placed his hand upon his arm .",64,"('place', 'mettre', 'poner')",5
"the party was to take place at st . germain , i believe , and they had appointed to meet at the carmes - deschaux , when they were disturbed by de jussac , cahusac , bicarat , and two other guardsmen , who certainly did not go there in such a numerous company without some ill intention against the edicts . "" "" ah , ah !",5,"('place', 'lieu', 'lugar')",3
""" i do not accuse them , sire ; but i leave your majesty to judge what five armed men could possibly be going to do in such a deserted place as the neighborhood of the convent des carmes . """,30,"('place', 'lieu', 'lugar')",3
