text,sense,label,ind,new_label
"in that place the fiord was at least three english miles wide ; the waves rolled with a rushing din upon the sharp - pointed rocks ; this inlet was confined between walls of rock , precipices crowned by sharp peaks 2,000 feet high , and remarkable for the brown strata which separated the beds of reddish tuff . however much i might respect the intelligence of our quadrupeds , i hardly cared to put it to the test by trusting myself to it on horseback across an arm of the sea .","('separate', 'séparer', 'separar')",0,52,0
"an instant afterward the three young men separated , agreeing to meet again at four o’clock with athos , and leaving planchet to guard the house .","('separate', 'séparer', 'separar')",0,7,0
"finally , the engineer obtained wires from forty to fifty feet long , which could be easily fastened together and stretched over the distance of five miles , which separated the corral from the bounds of granite house .","('separate', 'séparer', 'separar')",0,29,0
"as usual , dinner was served me in my stateroom . full of anxiety , i ate little . i left the table at seven o'clock . 120 minutes-- i was keeping track of them -- still separated me from the moment i was to rejoin ned land . my agitation increased . my pulse was throbbing violently . i could n't stand still . i walked up and down , hoping to calm my troubled mind with movement . the possibility of perishing in our reckless undertaking was the least of my worries ; my heart was pounding at the thought that our plans might be discovered before we had left the nautilus , at the thought of being hauled in front of captain nemo and finding him angered , or worse , saddened by my deserting him .","('separate', 'séparer', 'separar')",0,37,0
"during the night of december 27 - 28 , the nautilus left the waterways of vanikoro behind with extraordinary speed . its heading was southwesterly , and in three days it had cleared the 750 leagues that separated la pérouse 's islands from the southeastern tip of papua .","('separate', 'séparer', 'separar')",0,37,0
"and on this assurance , the four friends , who had finished their modest repast , separated , with the promise of meeting again that evening . d’artagnan returned to less important affairs , and the three musketeers repaired to the king ’s quarters , where they had to prepare their lodging .","('separate', 'séparer', 'separar')",0,16,0
"near 5:30 the first glimmers of light on the horizon defined the upper lines of the coast with greater distinctness . fairly flat to the east , it swelled a little toward the south . five miles still separated it from us , and its beach merged with the misty waters . between us and the shore , the sea was deserted . not a boat , not a diver . profound solitude reigned over this gathering place of pearl fishermen . as captain nemo had commented , we were arriving in these waterways a month too soon .","('separate', 'séparer', 'separar')",0,38,0
"now , this note was dated six o'clock in the morning , and the active orang , accustomed to come frequently to the corral , had taken scarcely three quarters of an hour to cross the five miles which separated it from granite house .","('separate', 'séparer', 'separar')",0,39,0
""" truly it is wonderful that you have not been killed a hundred times over . but , for the love of god , do n't let us ever separate again , or we many never see each other more . ""","('separate', 'séparer', 'separar')",0,29,0
"at the far end stood a fourth watertight bulkhead , separating the crew 's quarters from the engine room . a door opened , and i stood in the compartment where captain nemo , indisputably a world - class engineer , had set up his locomotive equipment .","('separate', 'séparer', 'separar')",0,10,0
