text,ind,sense,label
"i was about mechanically to obey him , without further remonstrance ; but as he helped me into the carriage , he looked at my face .",5,"('obey', 'obéir', 'obedecer')",0
""" professor , "" the commander replied swiftly , "" i 'm not what you term a civilized man ! i 've severed all ties with society , for reasons that i alone have the right to appreciate . therefore i obey none of its regulations , and i insist that you never invoke them in front of me ! """,41,"('obey', 'obéir', 'obedecer')",0
""" but the queen will perhaps refuse to obey . """,8,"('obey', 'obéir', 'obedecer')",0
grimaud immediately obeyed .,2,"('obey', 'obéir', 'obedecer')",0
"the canadian , conseil , and i could only obey . some fifteen of the nautilus 's seamen surrounded their captain and stared with a feeling of implacable hate at the ship bearing down on them . you could feel the same spirit of vengeance enkindling their every soul .",9,"('obey', 'obéir', 'obedecer')",0
grimaud obeyed without replying .,1,"('obey', 'obéir', 'obedecer')",0
"felton obeyed ; this woman was now his whole thought , his whole soul .",1,"('obey', 'obéir', 'obedecer')",0
"my uncle lost no time in obeying the friendly call , nor was i slack in following .",6,"('obey', 'obéir', 'obedecer')",0
"i obeyed , not without dissatisfaction , and passed out rapidly among the rocks on the shore .",1,"('obey', 'obéir', 'obedecer')",0
"at this injunction from his superior , felton obeyed ; but in going out , he put the knife into his bosom .",8,"('obey', 'obéir', 'obedecer')",0
"have they not obeyed me ? """,3,"('obey', 'obéir', 'obedecer')",0
"the officer superintended all these details with the same calmness milady had constantly seen in him , never pronouncing a word himself , and making himself obeyed by a gesture of his hand or a sound of his whistle .",26,"('obey', 'obéir', 'obedecer')",0
"the tall man had scarcely read these lines , seen the signature , and recognized the seal , when he bowed to denote that he had no longer any objection to make , and that he was ready to obey .",39,"('obey', 'obéir', 'obedecer')",0
"all the way , and in proportion as the corridors became more deserted , d’artagnan wished to stop the young woman , seize her and gaze upon her , were it only for a minute ; but quick as a bird she glided between his hands , and when he wished to speak to her , her finger placed upon her mouth , with a little imperative gesture full of grace , reminded him that he was under the command of a power which he must blindly obey , and which forbade him even to make the slightest complaint . at length , after winding about for a minute or two , mme . bonacieux opened the door of a closet , which was entirely dark , and led d’artagnan into it .",87,"('obey', 'obéir', 'obedecer')",0
"the writer spoke of acute bodily illness — of a mental disorder which oppressed him — and of an earnest desire to see me , as his best and indeed his only personal friend , with a view of attempting , by the cheerfulness of my society , some alleviation of his malady . it was the manner in which all this , and much more , was said — it was the apparent heart that went with his request — which allowed me no room for hesitation ; and i accordingly obeyed forthwith what i still considered a very singular summons .",92,"('obey', 'obéir', 'obedecer')",0
"d’artagnan obeyed like a child , without the least resistance or objection , which proved that he was really in love .",1,"('obey', 'obéir', 'obedecer')",0
"it is the people who do not obey that i punish , and not those who , like you , obey -- but too well .",7,"('obey', 'obéir', 'obedecer')",0
"it is the people who do not obey that i punish , and not those who , like you , obey -- but too well .",20,"('obey', 'obéir', 'obedecer')",0
"we hastened to obey this order ; for you will please to understand , monsieur , we were disposed to do everything your friend could desire .",3,"('obey', 'obéir', 'obedecer')",0
"i obeyed ; he sat at one end of his table , i at the other .",1,"('obey', 'obéir', 'obedecer')",0
d’artagnan obeyed ; for athos had the solemn voice and the powerful gesture of a judge sent by the lord himself .,1,"('obey', 'obéir', 'obedecer')",0
""" as you are my commander , it is my duty to obey . """,12,"('obey', 'obéir', 'obedecer')",0
"with difficulty i obeyed him . presently i stood within that clean , bright kitchen -- on the very hearth -- trembling , sickening ; conscious of an aspect in the last degree ghastly , wild , and weather - beaten .",3,"('obey', 'obéir', 'obedecer')",0
the man obeyed .,2,"('obey', 'obéir', 'obedecer')",0
i obeyed .,1,"('obey', 'obéir', 'obedecer')",0
"he made a sign for grimaud to bring a glass for d’artagnan , and grimaud obeyed as usual .",15,"('obey', 'obéir', 'obedecer')",0
grimaud rose and obeyed .,3,"('obey', 'obéir', 'obedecer')",0
"burns obeyed : i looked at her narrowly as she emerged from the book - closet ; she was just putting back her handkerchief into her pocket , and the trace of a tear glistened on her thin cheek .",1,"('obey', 'obéir', 'obedecer')",0
"on their way they met grimaud . athos made him a sign to come with them . grimaud , according to custom , obeyed in silence ; the poor lad had nearly come to the pass of forgetting how to speak .",23,"('obey', 'obéir', 'obedecer')",0
""" come , i tell you ; do n't waste our time . "" i had to obey . a keeper who lived at the other end of the street handed us the key , and the ascent began .",17,"('obey', 'obéir', 'obedecer')",0
""" i will obey you in everything , captain , "" said herbert , seizing the engineer 's hand .",3,"('obey', 'obéir', 'obedecer')",0
""" you will leave d’artagnan to act as he thinks proper , "" said athos . "" he has , i repeat , the longest head of the four , and for my part i declare that i will obey him .",39,"('obey', 'obéir', 'obedecer')",0
patrick again obeyed .,2,"('obey', 'obéir', 'obedecer')",0
"after that , i stopped objecting and started obeying , since resistance was useless .",8,"('obey', 'obéir', 'obedecer')",0
d’artagnan obeyed .,1,"('obey', 'obéir', 'obedecer')",0
"i obeyed him ; then he put the glass on the table , stood before me , and looked at me attentively .",1,"('obey', 'obéir', 'obedecer')",0
rochefort obeyed and retired .,1,"('obey', 'obéir', 'obedecer')",0
the host obeyed .,2,"('obey', 'obéir', 'obedecer')",0
"in the meanwhile top was ordered to mount guard below the windows of granite house , and when top received an order he obeyed it without any questioning .",23,"('obey', 'exécuter', 'ejecutar')",1
"i should have been afraid to touch a horse when alone , but when told to do it , i was disposed to obey .",23,"('obey', 'obéir', 'obedecer')",0
""" but , captain-- "" answered the sailor , little disposed to obey .",12,"('obey', 'obéir', 'obedecer')",0
grimaud obeyed .,1,"('obey', 'obéir', 'obedecer')",0
the valet went out with a mute promptitude which showed him accustomed to obey blindly and without reply .,13,"('obey', 'obéir', 'obedecer')",0
"the engineer 's orders were obeyed , and while the reporter and the lad , the best marksmen in the colony , posted themselves in a good position , but out of the monkeys ' sight , neb , pencroft , and cyrus climbed the plateau and entered the forest in order to kill some game , for it was now time for breakfast and they had no provisions remaining .",5,"('obey', 'exécuter', 'ejecutar')",1
