text,ind,sense,label
"d’artagnan asked the poor girl what was the matter with her ; but she , as her only reply , drew a letter from her pocket and gave it to him .",20,"('draw', 'tirer', 'sacar')",0
"my heart really warmed to the worthy lady as i heard her talk ; and i drew my chair a little nearer to her , and expressed my sincere wish that she might find my company as agreeable as she anticipated .",16,"('draw', 'rapprocher', 'acercar')",1
"cyrus harding drew near the captain , and gideon spilett took his hand -- it was of a feverish heat .",2,"('draw', 'approcher', 'acercar')",2
"however , the revolution which appeared upon his countenance was so visible that bonacieux was terrified at it , and he endeavored to draw back a step or two ; but as he was standing before the half of the door which was shut , the obstacle compelled him to keep his place .",23,"('draw', 'reculer', 'retroceder')",3
""" well , here it is at last ! "" said d’artagnan , as he drew the letter from his pocket .",15,"('draw', 'tirer', 'sacar')",0
"but athos rose likewise , drew his sword , and placed himself in the way .",5,"('draw', 'tirer', 'sacar')",0
"at that moment , herbert , who had advanced a few steps into the enclosure , drew back hurriedly , and seized harding 's hand .",16,"('draw', 'reculer', 'retroceder')",3
"sometimes when the cardinal , always on horseback , like the lowest gendarme of the army , cast a pensive glance over those works , so slowly keeping pace with his wishes , which the engineers , brought from all the corners of france , were executing under his orders , if he met a musketeer of the company of treville , he drew near and looked at him in a peculiar manner , and not recognizing in him one of our four companions , he turned his penetrating look and profound thoughts in another direction .",63,"('draw', 'approcher', 'acercar')",2
d’artagnan rapidly drew his seat nearer to milady ’s .,2,"('draw', 'rapprocher', 'acercar')",1
""" well , now let us talk a little seriously , "" said milady , in her turn drawing her armchair nearer to d’artagnan ’s chair .",18,"('draw', 'rapprocher', 'acercar')",1
""" i suppose so , "" replied pencroft , drawing from his lips the object which had cost him a grinder-- !",9,"('draw', 'retirer', 'sacar')",4
and he drew nearer to her .,2,"('draw', 'attirer', 'atraer')",5
""" here is the knife , "" said felton , drawing from his pocket the weapon which he had brought , according to his promise , but which he hesitated to give to his prisoner .",10,"('draw', 'tirer', 'sacar')",0
"aramis drew the letter from his pocket ; the three friends surrounded him , and the three lackeys grouped themselves again near the wine jar .",1,"('draw', 'tirer', 'sacar')",0
kitty drew a little note from her bosom .,1,"('draw', 'tirer', 'sacar')",0
"the cardinal drew near to the king , and placed in his hand a small casket .",2,"('draw', 'approcher', 'acercar')",2
"then , with the intention quite patent of not drawing back a foot from the accomplishment of the commission with which he was charged , and as the attendant of an executioner might have done in the chamber of torture , he approached anne of austria , for whose eyes at the same instant sprang tears of rage .",9,"('draw', 'reculer', 'retroceder')",3
"nearly five minutes passed thus , top rummaging , the reporter following him prudently when , all at once , the dog rushed towards a thick bush , and drew out a rag .",29,"('draw', 'tirer', 'sacar')",0
"milady made one step forward , and then drew back as if she had seen a serpent .",8,"('draw', 'reculer', 'retroceder')",3
"anne of austria took one step backward , became so pale that it might be said she was dying , and leaning with her left hand upon a table behind her to keep herself from falling , she with her right hand drew the paper from her bosom and held it out to the keeper of the seals .",42,"('draw', 'tirer', 'sacar')",0
ayrton drew back .,1,"('draw', 'reculer', 'retroceder')",3
"milady saw by the contraction of his countenance that the trigger was about to be pulled ; she reached her hand quickly to her bosom , drew out a paper , and held it toward athos .",26,"('draw', 'tirer', 'sacar')",0
