text,sense,label,ind,new_label
"it is certain , after what we have seen , that animals are numerous in this island , and what is more strange , that the species are extremely varied .","('certain', 'certain', 'cierto')",0,2,0
""" his majesty is certain that a letter has been written by you during the day ; he knows that it has not yet been sent to its address .","('certain', 'certain', 'seguro')",1,4,1
""" say , rather , into the region where we balance probabilities and choose the most likely . it is the scientific use of the imagination , but we have always some material basis on which to start our speculation . now , you would call it a guess , no doubt , but i am almost certain that this address has been written in a hotel . ""","('certain', 'certain', 'seguro')",1,57,1
"but at the first serious effort , every obstacle will disappear , and you may be certain , my dear spilett , that neither the island , which is the boiler , nor the volcano , which is the chimney , will burst under the pressure of gas .","('certain', 'certain', 'seguro')",1,16,1
""" i know nothing about that , "" answered pencroft , "" but what is certain , is that some one has weighed the ' bonadventure 's ' anchor and dropped it again !","('certain', 'certain', 'cierto')",0,15,0
"although la rochelle was invested , however certain success might appear -- thanks to the precautions taken , and above all to the dyke , which prevented the entrance of any vessel into the besieged city -- the blockade might last a long time yet . this was a great affront to the king ’s army , and a great inconvenience to the cardinal , who had no longer , it is true , to embroil louis xiii with anne of austria -- for that affair was over -- but he had to adjust matters for m. de bassompierre , who was embroiled with the duc d’angouleme .","('certain', 'certain', 'cierto')",0,7,0
""" if there is one thing certain in this world , spilett , it is that i never lighted any fire during the night of the 19th of october , neither on prospect heights nor on any other part of the island ! ""","('certain', 'certain', 'cierto')",0,6,0
""" nothing was certain ; besides , her majesty had said , ’ ladies , wait for me , ’ and she did not dare to disobey the queen . ""","('certain', 'certain', 'seguro')",1,3,1
""" anything which may seem to have a bearing however indirect upon the case , and especially the relations between young baskerville and his neighbours or any fresh particulars concerning the death of sir charles . i have made some inquiries myself in the last few days , but the results have , i fear , been negative . one thing only appears to be certain , and that is that mr . james desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him . i really think that we may eliminate him entirely from our calculations . there remain the people who will actually surround sir henry baskerville upon the moor . ""","('certain', 'certain', 'cierto')",0,65,0
""" i am quite ready , "" said d’artagnan ; "" but in the first place i should like to be certain of one thing . ""","('certain', 'certain', 'seguro')",1,21,1
"then , certain that there could be no mistake in the execution of her orders , she started her horse and disappeared .","('certain', 'certain', 'seguro')",1,2,1
""" and you are quite certain of having seen this fire ? ""","('certain', 'certain', 'seguro')",1,5,1
""" i 'm certain of it . ""","('certain', 'certain', 'seguro')",1,3,1
""" i did , "" said i , dropping my voice , so that leah , who was still polishing the panes , could not hear me , "" and at first i thought it was pilot : but pilot can not laugh ; and i am certain i heard a laugh , and a strange one . ""","('certain', 'certain', 'seguro')",1,47,1
""" no , my dear spilett ; but you see that if it is certain that a human being set foot on the island , it appears no less certain that he has now left it . ""","('certain', 'certain', 'cierto')",0,14,0
""" no , my dear spilett ; but you see that if it is certain that a human being set foot on the island , it appears no less certain that he has now left it . ""","('certain', 'certain', 'cierto')",0,29,0
""" i could decide if i were but certain , "" i answered : "" were i but convinced that it is god 's will i should marry you , i could vow to marry you here and now -- come afterwards what would ! ""","('certain', 'certain', 'seguro')",1,8,1
""" no , "" said d’artagnan , "" and yet i am certain it is not the first time i have seen that visage . ""","('certain', 'certain', 'seguro')",1,12,1
""" you arrive in good time , monsieur , "" said the king , who , when his passions were raised to a certain point , could not dissemble ; "" i have learned some fine things concerning your musketeers . ""","('certain', 'certain', 'cierto')",0,23,0
"sure of himself , convinced of his own power , certain that the laws which rule other men could not reach him , he went straight to the object he aimed at , even were this object were so elevated and so dazzling that it would have been madness for any other even to have contemplated it .","('certain', 'certain', 'cierto')",0,10,0
"the inferences deduced by pencroft were perfectly reasonable , and it was nearly certain that , as the hut was deserted , and the tools , utensils , and weapons were still there , the owner had succumbed .","('certain', 'certain', 'cierto')",0,13,0
"it was said so positively that passepartout could not help muttering to himself , "" parbleu that 's certain ! before noon we shall be on board . "" but he was by no means reassured .","('certain', 'certain', 'cierto')",0,18,0
"the settlers asked if granite house was inhabited or not , and yet the position of the ladder was sufficient to show that it was ; it was also certain that the inhabitants , whoever they might be , had not been able to escape .","('certain', 'certain', 'seguro')",1,29,1
""" and then , "" said aramis , pinching his ear to make it red , as he rubbed his hands to make them white , "" and then i made a certain rondeau upon it last year , which i showed to monsieur voiture , and that great man paid me a thousand compliments . ""","('certain', 'certain', 'cierto')",0,32,0
"this circumstance pleased m. de treville much , as he thus became certain that no foreign suggestion could insinuate itself between m. de la tremouille ’s testimony and himself .","('certain', 'certain', 'seguro')",1,12,1
""" i shall never forget it , "" replied d’artagnan . "" your eminence may be certain of that . ""","('certain', 'certain', 'seguro')",1,16,1
