text,sense,label,ind,new_label
""" you are a frenchman , i believe , "" asked phileas fogg , "" and your name is john ? ""","('ask', 'demander', 'preguntar')",0,10,0
""" why ! how are you going to manage that , captain ? "" asked pencroft .","('ask', 'demander', 'preguntar')",0,14,0
""" but have you got the robber 's description ? "" asked stuart .","('ask', 'demander', 'preguntar')",0,11,0
""" do you know what this plant is ? "" asked herbert of the sailor .","('ask', 'demander', 'preguntar')",0,10,0
""" well ? "" asked the sailor .","('ask', 'demander', 'preguntar')",0,4,0
""" monsieur is a gascon ? "" asked aramis .","('ask', 'demander', 'preguntar')",0,7,0
"on this day , harding , having sent the current through the wire , asked if all was going on well at the corral , and received in a few moments a satisfactory reply from ayrton .","('ask', 'demander', 'preguntar')",0,14,0
"that was the question the three musketeers put to one another . then , seeing that none of their replies could throw any light on the subject , porthos called the host and asked for dice .","('ask', 'demander', 'pedir')",1,33,1
""" what is that ? "" asked the queen , who did not understand , or rather was not willing to understand .","('ask', 'demander', 'preguntar')",0,6,0
""" and who has struck the blow ? "" asked pencroft .","('ask', 'demander', 'preguntar')",0,9,0
""" well ? "" i asked him .","('ask', 'demander', 'preguntar')",0,5,0
""" you know no one but monsieur de treville ? "" he asked .","('ask', 'demander', 'preguntar')",0,12,0
"i experienced a shock of horror , then a strong thrill of grief , then a desire -- a necessity to see her ; and i asked in what room she lay .","('ask', 'demander', 'preguntar')",0,26,0
""" well , he asked me for anything outside the ordinary routine . ""","('ask', 'demander', 'preguntar')",0,4,0
""" do you think , then , that any harm can have happened to him ? "" asked aramis . "" athos is so cool , so brave , and handles his sword so skillfully . ""","('ask', 'demander', 'preguntar')",0,17,0
""" this very evening ? "" asked stuart .","('ask', 'demander', 'preguntar')",0,6,0
""" but , whether it is an island or a continent , "" asked gideon spilett , "" whereabouts do you think , cyrus , this storm has thrown us ? ""","('ask', 'demander', 'preguntar')",0,13,0
""" what are you looking at ? "" asked d’artagnan .","('ask', 'demander', 'preguntar')",0,8,0
""" whom do you call ’ that wretch ’ ? "" asked felton .","('ask', 'demander', 'preguntar')",0,11,0
""" shall we stay at the corral ? "" asked pencroft .","('ask', 'demander', 'preguntar')",0,9,0
""" but to - morrow , captain , "" asked herbert , "" shall you be in a state to bear the fatigue of the ascent ? ""","('ask', 'demander', 'preguntar')",0,9,0
""" one of yours ! how many have you , then ? "" asked d’artagnan .","('ask', 'demander', 'preguntar')",0,13,0
""" what 's the nautilus 's heading ? "" i asked .","('ask', 'demander', 'preguntar')",0,10,0
""" you have forgotten nothing ? "" asked he .","('ask', 'demander', 'preguntar')",0,7,0
""" at what distance are we from granite house ? "" asked herbert .","('ask', 'demander', 'preguntar')",0,11,0
""" shall we go on ? "" asked the reporter .","('ask', 'demander', 'preguntar')",0,7,0
""" but , pencroft , "" asked ayrton , "" how do you intend to make this voyage ? ""","('ask', 'demander', 'preguntar')",0,6,0
"our baggage was immediately carried to the deck of the frigate . i rushed aboard . i asked for commander farragut . one of the sailors led me to the afterdeck , where i stood in the presence of a smart - looking officer who extended his hand to me .","('ask', 'demander', 'preguntar')",0,17,0
"near eleven o'clock in the evening , i received a most unexpected visit from captain nemo . he asked me very graciously if i felt exhausted from our vigil the night before . i said no .","('ask', 'demander', 'preguntar')",0,18,0
""" what 's the matter ? "" asked mr . fogg .","('ask', 'demander', 'preguntar')",0,7,0
""" but what are you going to fight about , athos ? "" asked aramis .","('ask', 'demander', 'preguntar')",0,13,0
""" are we up to pressure ? "" he asked the man .","('ask', 'demander', 'preguntar')",0,9,0
""" and you , aramis ? "" asked athos .","('ask', 'demander', 'preguntar')",0,7,0
""" would you not , in that case , pencroft , attempt the adventure ? "" asked the reporter .","('ask', 'demander', 'preguntar')",0,16,0
""" who is that ? "" asked pencroft .","('ask', 'demander', 'preguntar')",0,6,0
""" so you say , consul , "" asked he for the twentieth time , "" that this steamer is never behind time ? ""","('ask', 'demander', 'preguntar')",0,8,0
"she asked upon what day this fete would take place , but the king replied that he must consult the cardinal upon that head .","('ask', 'demander', 'preguntar')",0,1,0
"indeed , every day the king asked the cardinal when this fete should take place ; and every day the cardinal , under some pretext , deferred fixing it .","('ask', 'demander', 'preguntar')",0,6,0
"fix took up a position , and carefully examined each face and figure which made its appearance . presently one of the passengers , after vigorously pushing his way through the importunate crowd of porters , came up to him and politely asked if he could point out the english consulate , at the same time showing a passport which he wished to have visaed . fix instinctively took the passport , and with a rapid glance read the description of its bearer . an involuntary motion of surprise nearly escaped him , for the description in the passport was identical with that of the bank robber which he had received from scotland yard .","('ask', 'demander', 'preguntar')",0,42,0
"this document remained locked in my drawer all day : after tea , i asked leave of the new superintendent to go to lowton , in order to perform some small commissions for myself and one or two of my fellow - teachers ; permission was readily granted ; i went .","('ask', 'demander', 'pedir')",1,14,1
""" wo n't he drown ? "" asked neb .","('ask', 'demander', 'preguntar')",0,7,0
""" but if an eruption of mount franklin occurred , "" asked spilett , "" would there not be some danger to lincoln island ? ""","('ask', 'demander', 'preguntar')",0,11,0
""" what 's the matter ? "" asked the reporter .","('ask', 'demander', 'preguntar')",0,7,0
""" remember what i asked you , when we were in the garden this morning . ""","('ask', 'demander', 'pedir')",1,4,1
""" who ? "" asked neb .","('ask', 'demander', 'preguntar')",0,4,0
""" what were you doing on that armchair ? "" asked he .","('ask', 'demander', 'preguntar')",0,10,0
we had a pleasant luncheon in which little was said of the business which had brought us together . it was in the private sitting - room to which we afterwards repaired that holmes asked baskerville what were his intentions .,"('ask', 'demander', 'preguntar')",0,34,0
""" had you a burning - glass , sir ? "" asked herbert of harding .","('ask', 'demander', 'preguntar')",0,11,0
""" and what is your choice ? "" asked jussac .","('ask', 'demander', 'preguntar')",0,8,0
"i asked , ' sophie , what are you doing ? '","('ask', 'demander', 'preguntar')",0,1,0
""" yes , mr . rochester , i liked him : but you asked me that before . ""","('ask', 'demander', 'preguntar')",0,13,0
"as for myself , as soon as i recovered my senses i went to monsieur the governor , to whom i related all that had passed , and asked , what i should do with my prisoner .","('ask', 'demander', 'preguntar')",0,28,0
"athos would have died rather than appeal for help ; but he could look , and with that look ask assistance .","('ask', 'demander', 'pedir')",1,19,1
""" and how many months would be required to build a vessel of from 250 to 300 tons ? "" asked harding .","('ask', 'demander', 'preguntar')",0,20,0
""" is that all ? "" asked the sailor .","('ask', 'demander', 'preguntar')",0,6,0
""" what o'clock is it ? "" asked pencroft .","('ask', 'demander', 'preguntar')",0,7,0
""" what o'clock is it ? "" he asked after a few moments of silence .","('ask', 'demander', 'preguntar')",0,8,0
"at the same instant aramis placed his sword point on the breast of his fallen enemy , and forced him to ask for mercy .","('ask', 'demander', 'pedir')",1,21,1
""" well , pencroft , "" asked harding , "" can you not anchor off the cape ? ""","('ask', 'demander', 'preguntar')",0,6,0
""" is bombay far from here ? "" asked passepartout .","('ask', 'demander', 'preguntar')",0,8,0
""" a fire ? "" asked harding , much astonished at the reporter 's words .","('ask', 'demander', 'preguntar')",0,5,0
""" does not sophie sleep with adele in the nursery ? "" he asked , as i lit my candle .","('ask', 'demander', 'preguntar')",0,13,0
i asked captain nemo if he had observed any fish at more considerable depths .,"('ask', 'demander', 'preguntar')",0,1,0
