text,sense,label,ind,new_label
"the poor girl , under the caresses of d’artagnan , lifted her head .","('girl', 'fille', 'muchacho')",0,2,0
""" do n't pay any attention to him , dorian , "" said the painter . "" i understand what you mean , and i believe in this girl . any one you love must be marvellous , and any girl who has the effect you describe must be fine and noble . to spiritualize one 's age -- that is something worth doing . if this girl can give a soul to those who have lived without one , if she can create the sense of beauty in people whose lives have been sordid and ugly , if she can strip them of their selfishness and lend them tears for sorrows that are not their own , she is worthy of all your adoration , worthy of the adoration of the world . this marriage is quite right . i did not think so at first , but i admit it now . the gods made sibyl vane for you . without her you would have been incomplete . ""","('girl', 'fille', 'muchacho')",0,67,0
""" thanks , basil , "" answered dorian gray , pressing his hand . "" i knew that you would understand me . harry is so cynical , he terrifies me . but here is the orchestra . it is quite dreadful , but it only lasts for about five minutes . then the curtain rises , and you will see the girl to whom i am going to give all my life , to whom i have given everything that is good in me . ""","('girl', 'fille', 'muchacho')",0,62,0
"the girl smiled . "" dorian , "" she answered , lingering over his name with long - drawn music in her voice , as though it were sweeter than honey to the red petals of her mouth . "" dorian , you should have understood . but you understand now , do n't you ? ""","('girl', 'fille', 'muchacho')",0,1,0
"has a girl of fourteen a heart large enough , vigorous enough , to hold the swelling spring of pure , full , fervid eloquence ? such was the characteristic of helen 's discourse on that , to me , memorable evening ; her spirit seemed hastening to live within a very brief span as much as many live during a protracted existence .","('girl', 'fille', 'muchacho')",0,2,0
i established one for boys : i mean now to open a second school for girls .,"('girl', 'fille', 'muchacho')",1,15,0
"bessie lee must , i think , have been a girl of good natural capacity , for she was smart in all she did , and had a remarkable knack of narrative ; so , at least , i judge from the impression made on me by her nursery tales .","('girl', 'fille', 'muchacho')",0,10,0
"' i have tasted eggs , certainly , ' said alice , who was a very truthful child ; ' but little girls eat eggs quite as much as serpents do , you know . '","('girl', 'fille', 'muchacho')",1,22,0
"this was such a new idea to alice , that she was quite silent for a minute or two , which gave the pigeon the opportunity of adding , ' you 're looking for eggs , i know that well enough ; and what does it matter to me whether you 're a little girl or a serpent ? '","('girl', 'fille', 'muchacho')",1,54,0
"d’artagnan asked the poor girl what was the matter with her ; but she , as her only reply , drew a letter from her pocket and gave it to him .","('girl', 'fille', 'muchacho')",1,4,0
""" you went to the opera ? "" said hallward , speaking very slowly and with a strained touch of pain in his voice . "" you went to the opera while sibyl vane was lying dead in some sordid lodging ? you can talk to me of other women being charming , and of patti singing divinely , before the girl you loved has even the quiet of a grave to sleep in ? why , man , there are horrors in store for that little white body of hers ! ""","('girl', 'fille', 'muchacho')",0,61,0
""" well , i will ; but mind you are a very good girl , and do n't be afraid of me .","('girl', 'fille', 'muchacho')",1,13,0
"how can i , a man not yet thirty , take out with me to india a girl of nineteen , unless she be married to me ?","('girl', 'fille', 'muchacho')",0,17,0
"do not ask me , reader , to give a minute account of that day ; as before , i sought work ; as before , i was repulsed ; as before , i starved ; but once did food pass my lips . at the door of a cottage i saw a little girl about to throw a mess of cold porridge into a pig trough . "" will you give me that ? "" i asked .","('girl', 'fille', 'muchacho')",1,54,0
""" and weep over a faithless florizel , "" said lord henry , laughing , as he leaned back in his chair . "" my dear dorian , you have the most curiously boyish moods . do you think this girl will ever be really content now with any one of her own rank ? i suppose she will be married some day to a rough carter or a grinning ploughman . well , the fact of having met you , and loved you , will teach her to despise her husband , and she will be wretched . from a moral point of view , i can not say that i think much of your great renunciation . even as a beginning , it is poor . besides , how do you know that hetty is n't floating at the present moment in some starlit mill - pond , with lovely water - lilies round her , like ophelia ? ""","('girl', 'fille', 'muchacho')",0,40,0
""" is there a little girl called jane eyre here ? "" she asked .","('girl', 'fille', 'muchacho')",1,5,0
"i wonder if she lives alone except this little girl ; if so , and if she is in any degree amiable , i shall surely be able to get on with her ; i will do my best ; it is a pity that doing one 's best does not always answer .","('girl', 'fille', 'muchacho')",1,9,0
"terror had had such an effect upon the poor girl that she had never ceased walking from paris till she reached burgundy , her native place .","('girl', 'fille', 'muchacho')",0,9,0
"four tall girls arose from different tables , and going round , gathered the books and removed them .","('girl', 'fille', 'muchacho')",0,2,0
"the perfidious deceiver was , as may plainly be perceived , already sacrificing , in intention , the poor girl in order to obtain milady , willy - nilly .","('girl', 'fille', 'muchacho')",0,19,0
"she wiped her eyes with her apron : the two girls , grave before , looked sad now .","('girl', 'fille', 'muchacho')",0,10,0
""" that woman was once a young girl , as beautiful as she is today .","('girl', 'fille', 'muchacho')",0,7,0
"she stood at the bottom of the long room , on the hearth ; for there was a fire at each end ; she surveyed the two rows of girls silently and gravely .","('girl', 'fille', 'muchacho')",0,29,0
""" then mother 's a deader too , "" cried the little girl dropping her face in her pinafore and sobbing bitterly .","('girl', 'fille', 'muchacho')",1,12,0
""" and the little girl -- my pupil ! ""","('girl', 'fille', 'muchacho')",1,4,0
"as i was meditating on this discovery , a little girl , followed by her attendant , came running up the lawn .","('girl', 'fille', 'muchacho')",1,10,0
""" no , my dear axel , and i would willingly go with you , but that a poor girl would only be in your way . ""","('girl', 'fille', 'muchacho')",0,19,0
"it must , however , be confessed in his justification that the first use he made of his influence over kitty was to try and find out what had become of mme . bonacieux ; but the poor girl swore upon the crucifix to d’artagnan that she was entirely ignorant on that head , her mistress never admitting her into half her secrets -- only she believed she could say she was not dead .","('girl', 'fille', 'muchacho')",0,38,0
"allow us to observe in passing that in this fight perished the baron de chantal ; that the baron de chantal left a little orphan girl eighteen months old , and that this little girl was afterward mme . de sevigne .","('girl', 'fille', 'muchacho')",1,25,0
"allow us to observe in passing that in this fight perished the baron de chantal ; that the baron de chantal left a little orphan girl eighteen months old , and that this little girl was afterward mme . de sevigne .","('girl', 'fille', 'muchacho')",1,34,0
""" no matter -- a girl of your sense will not object to the voyage or the distance . ""","('girl', 'fille', 'muchacho')",0,5,0
"the only marked event of the afternoon was , that i saw the girl with whom i had conversed in the verandah dismissed in disgrace by miss scatcherd from a history class , and sent to stand in the middle of the large schoolroom .","('girl', 'fille', 'muchacho')",0,13,0
""" mother , mother , i am so happy ! "" whispered the girl , burying her face in the lap of the faded , tired - looking woman who , with back turned to the shrill intrusive light , was sitting in the one arm - chair that their dingy sitting - room contained . "" i am so happy ! "" she repeated , "" and you must be happy , too ! ""","('girl', 'fille', 'muchacho')",0,13,0
""" he is not a gentleman , mother , and i hate the way he talks to me , "" said the girl , rising to her feet and going over to the window .","('girl', 'fille', 'muchacho')",0,22,0
"' you ought to be ashamed of yourself , ' said alice , ' a great girl like you , ' ( she might well say this ) , ' to go on crying in this way ! stop this moment , i tell you ! ' but she went on all the same , shedding gallons of tears , until there was a large pool all round her , about four inches deep and reaching half down the hall .","('girl', 'fille', 'muchacho')",1,16,0
"my sister sends you this authorization with great pleasure , for she is very partial to the little girl , to whom she intends to be more serviceable hereafter .","('girl', 'fille', 'muchacho')",0,18,0
and milady went to bed and fell asleep with a smile upon her lips . anyone who had seen her sleeping might have said she was a young girl dreaming of the crown of flowers she was to wear on her brow at the next festival .,"('girl', 'fille', 'muchacho')",0,28,0
""" and , ma'am , "" he continued , "" the laundress tells me some of the girls have two clean tuckers in the week : it is too much ; the rules limit them to one . ""","('girl', 'fille', 'muchacho')",1,17,0
"you are aware that my plan in bringing up these girls is , not to accustom them to habits of luxury and indulgence , but to render them hardy , patient , self - denying .","('girl', 'fille', 'muchacho')",1,10,0
""" naturally ! yes , but we are not to conform to nature ; i wish these girls to be the children of grace : and why that abundance ?","('girl', 'fille', 'muchacho')",1,17,0
"mr . brocklehurst hemmed . "" ladies , "" said he , turning to his family , "" miss temple , teachers , and children , you all see this girl ? ""","('girl', 'fille', 'muchacho')",1,30,0
""" well then , jane , call to aid your fancy:--suppose you were no longer a girl well reared and disciplined , but a wild boy indulged from childhood upwards ; imagine yourself in a remote foreign land ; conceive that you there commit a capital error , no matter of what nature or from what motives , but one whose consequences must follow you through life and taint all your existence .","('girl', 'fille', 'muchacho')",0,16,0
"what happened to our two travelers with two girls , two monkeys , and the savages , called oreillons","('girl', 'fille', 'muchacho')",0,8,0
"what my sensations were no language can describe ; but just as they all rose , stifling my breath and constricting my throat , a girl came up and passed me : in passing , she lifted her eyes .","('girl', 'fille', 'muchacho')",0,25,0
